0,11.50,0.00
171,11.50,8.50
231,8.50,8.50
341,8.50,3.00
450,8.50,8.50
520,5.00,8.50
561,5.00,10.50
601,5.00,12.50
671,8.46,12.50
710,8.46,10.50
750,8.46,12.50
821,5.00,12.50
862,5.00,14.50
1001,12.00,14.50
1141,5.00,14.50
1250,-0.50,14.50
1361,5.00,14.50
1401,5.00,12.50
1441,5.00,10.50
1541,0.00,10.50
1641,5.00,10.50
1681,5.00,8.50
1741,5.00,5.50
1841,0.00,5.50
1940,5.00,5.50
2050,5.00,0.00
2151,0.00,0.00
2251,5.00,0.00
2381,11.50,0.00
